"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"5475","GARREA","EQ","GARDEN REACH SHIPBUILD ENG LTD",0.01,1,"","",0,10,"INE382Z01011",333,181.4,333,77.7,"","","",0,0,0,253,168.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GRSE"
"5501","YUKIND","EQ","YUKEN INDIA LTD",0.01,1,"","",0,10,"INE384C01016",685,391,685,5.3,"","","",0,0,0,498.4,332.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","YUKEN"
"5528","KOTPRO","EQ","KOTHARI PRODUCTS LTD",0.01,1,"","",0,10,"INE823A01017",159.8,75.7,272,15.56,"","","",0,0,0,88.5,80.1,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KOTHARIPRO"
"553","RELINF","EQ","RELIANCE INFRASTRUCTURE LTD",0.01,1,"","",0,10,"INE036A01016",150,58,2641,8.65,"","","",0,0,0,108.75,72.55,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RELINFRA"
"5530","PSIDAT","EQ","PSI DATA SYSTEMS LTD",0.01,1,"","",0,10,"INE299A01010",124.5,40,1995.85,2.8,"","","",0,0,0,66.2,44.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PSIDATASYS"
"5551","ABMINT","BE","ABM INTERNATIONAL LIMITED",0.01,1,"","",0,10,"INE251C01025",160,66,202,12,"","","",0,0,0,81.95,74.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ABMINTLLTD"
"557","AAATEC","SM","AAA TECHNOLOGIES LIMITED",0.01,1,"","",0,10,"INE0D0U01013",0,0,78,42,"","","",0,0,0,80.4,53.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AAATECH"
"5570","WYELED","EQ","WYETH LIMITED",0.01,1,"","",0,10,"INE378A01012",1410,685,1410,170.25,"","","",0,0,0,1600.6,1067.1,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","WYETH"
"5575","SGBT55","GB","CENTRAL GOV SGB 17SP29 2.50",0.01,1,"","",0,4732,"IN0020210145",0,0,4899,4571,"","","",0,0,0,5158.35,4220.47,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SGBSEP29VI"
"5578","AMIORG","EQ","AMI ORGANICS LIMITED",0.01,1,"","",0,10,"INE00FF01017",1434.45,766.1,1434.45,766.1,"","","",0,0,0,1042.25,694.85,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AMIORG"
"5585","VIJDIA","EQ","VIJAYA DIAGNOSTIC CENTRE LTD",0.01,1,"","",0,1,"INE043W01024",672,295,672,295,"","","",0,0,0,399.6,266.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","VIJAYA"
"559","BSL","EQ","BSL LTD",0.01,1,"","",0,10,"INE594B01012",160.25,53.95,160.25,9.45,"","","",0,0,0,94.95,77.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BSL"
"5591","KLIIND","BE","K-LIFESTYLE & INDUSTRIES LIMIT",0.01,1,"","",0,1,"INE218A01028",0,0,66.67,1.25,"","","",0,0,0,2.15,1.45,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SHREEKRPOL"
"5594","ESKNIT","BE","ESKAY KNIT (INDIA) LTD",0.01,1,"","",0,1,"INE220A01032",0,0,95,2.5,"","","",0,0,0,5.1,3.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SHREEKRPET"
"5606","INTCON","EQ","INTERNATIONAL CONVEYORS LTD",0.01,1,"","",0,1,"INE575C01027",102.45,51.65,102.45,51.65,"","","",0,0,0,63,42,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","INTLCONV"
"5607","UNILIM","BE","UNIWORTH LIMITED",0.01,1,"","",0,10,"INE207A01013",17.4,2.05,114,2.05,"","","",0,0,0,4.9,3.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","WOOLWORTH"
"5610","ASTPHA","EQ","ASTRAZENECA PHARMA INDIA LTD",0.01,1,"","",0,2,"INE203A01020",3746.5,2445.7,4970,29.7,"","","",0,0,0,3215.45,2143.65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ASTRAZEN"
"5614","GANBEN","EQ","GANESH BENZOPLAST LTD",0.01,1,"","",0,1,"INE388A01029",139.5,76.1,181,1.85,"","","",0,0,0,130.8,87.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GANESHBE"
