"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"10022","OPTCUR","USDINR","OPTION","27-May-2022",73,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",40050,1,1000,0.0025,"US Dollars","","","","",4.055,5.055,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.555,"USDINR"
"10024","OPTCUR","USDINR","OPTION","27-May-2022",73.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",10,1,1000,0.0025,"US Dollars","","","","",3.805,4.805,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.305,"USDINR"
"10026","OPTCUR","USDINR","OPTION","27-May-2022",73.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",1423,1,1000,0.0025,"US Dollars","","","","",3.565,4.565,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.065,"USDINR"
"10028","OPTCUR","USDINR","OPTION","27-May-2022",73.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",1059,1,1000,0.0025,"US Dollars","","","","",3.305,4.305,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.805,"USDINR"
"10030","OPTCUR","USDINR","OPTION","27-May-2022",74,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",17210,1,1000,0.0025,"US Dollars","","","","",3.0625,4.0625,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.5625,"USDINR"
"10032","OPTCUR","USDINR","OPTION","27-May-2022",74.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",982,1,1000,0.0025,"US Dollars","","","","",2.805,3.805,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.305,"USDINR"
"10034","OPTCUR","USDINR","OPTION","27-May-2022",74.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",12220,1,1000,0.0025,"US Dollars","","","","",2.565,3.565,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.065,"USDINR"
"10036","OPTCUR","USDINR","OPTION","27-May-2022",74.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",2910,1,1000,0.0025,"US Dollars","","","","",2.3075,3.3075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.8075,"USDINR"
"10038","OPTCUR","USDINR","OPTION","27-May-2022",75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",41117,1,1000,0.0025,"US Dollars","","","","",2.0725,3.0725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.5725,"USDINR"
"10040","OPTCUR","USDINR","OPTION","27-May-2022",75.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",1983,1,1000,0.0025,"US Dollars","","","","",1.8075,2.8075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.3075,"USDINR"
